NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+4444+100,90462100219726+[0,624;0,606;0,623;0,616]+0,61725+0,5092999999999996+8+1800+1+4643+1604879677046+1604877877046
4+4458+105,62476400756836+[0,624;0,608;0,626;0,618]+0,619+0,5341577777777775+8+1800+1+4663+1604879685046+1604877885046
4+4475+102,616720993042+[0,626;0,612;0,627;0,621]+0,6214999999999999+0,5533977777777781+8+1800+1+4683+1604879693046+1604877893046
4+4489+102,41457600402832+[0,629;0,613;0,628;0,623]+0,6232500000000001+0,603055555555556+8+1800+1+4723+1604879701046+1604877901046
4+4504+106,15962599182129+[0,631;0,613;0,633;0,625]+0,6255+0,5486291666666663+8+1800+1+4744+1604879709046+1604877909046
4+4519+105,18100801086426+[0,633;0,617;0,634;0,626]+0,6275+0,5678355555555558+8+1800+1+4764+1604879717046+1604877917046
4+4535+106,31693199157715+[0,635;0,621;0,636;0,628]+0,63+0,5503405555555557+8+1800+1+4786+1604879725046+1604877925046
4+4548+109,92111499023437+[0,637;0,623;0,638;0,629]+0,63175+0,5347222222222222+8+1800+1+4826+1604879733046+1604877933046
4+4566+113,52631700134278+[0,639;0,624;0,642;0,632]+0,63425+0,5050000000000001+8+1800+1+4846+1604879741046+1604877941046
4+4580+106,16935699462891+[0,64;0,627;0,643;0,634]+0,636+0,4992372222222222+8+1800+1+4866+1604879749046+1604877949046
4+4588+107,54779600524903+[0,641;0,628;0,644;0,636]+0,6372500000000001+0,4886111111111112+8+1800+1+4908+1604879757046+1604877957046
4+4606+103,93715599060059+[0,644;0,629;0,647;0,639]+0,63975+0,48527777777777775+8+1800+1+4928+1604879765046+1604877965046
4+4618+114,81166300964355+[0,645;0,632;0,648;0,641]+0,6415000000000001+0,49083333333333345+8+1800+1+4948+1604879773046+1604877973046
4+4630+107,06650700378418+[0,647;0,634;0,649;0,642]+0,643+0,5195533333333334+8+1800+1+4988+1604879781046+1604877981046
4+4646+111,21669400024415+[0,65;0,636;0,652;0,644]+0,6455000000000001+0,5299499999999998+8+1800+1+5009+1604879789046+1604877989046
4+4654+111,0694109954834+[0,65;0,638;0,654;0,644]+0,6465000000000001+0,5252511111111113+8+1800+1+5029+1604879797046+1604877997046
4+4666+108,729987991333+[0,651;0,641;0,656;0,644]+0,648+0,5463888888888887+8+1800+1+5069+1604879805046+1604878005046
4+4679+112,74450199890137+[0,652;0,642;0,658;0,647]+0,64975+0,5280555555555553+8+1800+1+5089+1604879813046+1604878013046
